n,image,icn factor,% nuclei,% cytoplasm,av. nuclei intensity,av. cytoplasm intensity,nuclei area,cytoplasm area,t. nuclei intensity,t. cytoplasm intensity,folder
1,GFP.tif,0.3086,23.5814,76.4186,107.3898,57.1711,2065,12570,221760,718641,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
2,GFP.tif,0.4943,33.0803,66.9197,41.2832,18.4723,1783,8061,73608,148905,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
3,GFP.tif,0.4547,31.2591,68.7409,47.838,21.6973,2389,11583,114285,251320,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
4,GFP.tif,0.8041,44.5718,55.4282,64.1174,27.7717,1559,4476,99959,124306,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
5,GFP.tif,0.5408,35.1004,64.8996,130.8618,63.0137,1498,5752,196031,362455,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
6,GFP.tif,0.4329,30.2096,69.7904,38.1636,20.7387,1381,5871,52704,121757,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
7,GFP.tif,0.3699,27.0037,72.9963,138.5971,69.1985,2996,16221,415237,1122469,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
8,GFP.tif,0.4222,29.6883,70.3117,61.4929,25.8277,1337,7539,82216,194715,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
9,GFP.tif,0.3768,27.3704,72.6296,34.2597,21.1803,2149,9224,73624,195367,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
10,GFP.tif,0.3157,23.9956,76.0044,92.5475,55.8799,968,5078,89586,283758,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
11,GFP.tif,0.2765,21.6608,78.3392,126.6203,100.0211,1530,7005,193729,700648,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
12,GFP.tif,0.4207,29.6133,70.3867,89.3661,66.5113,2128,6796,190171,452011,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
13,GFP.tif,0.494,33.064,66.936,85.5486,56.949,1606,4884,137391,278139,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
14,GFP.tif,0.6703,40.1302,59.8698,72.3544,30.1124,1806,6474,130672,194948,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
15,GFP.tif,0.3598,26.4584,73.5416,116.1558,74.7809,2067,8924,240094,667345,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
16,GFP.tif,1.5415,60.6528,39.3472,54.2819,25.3601,2082,2891,113015,73316,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
17,GFP.tif,0.5727,36.4151,63.5849,63.2734,30.6729,1525,5493,96492,168486,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
18,GFP.tif,0.3325,24.9557,75.0443,73.7804,40.9175,1717,9310,126681,380942,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
19,GFP.tif,0.7436,42.646,57.354,92.5728,46.523,1627,4354,150616,202561,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
20,GFP.tif,0.4168,29.4192,70.5808,47.4034,25.8832,1993,8757,94475,226659,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
21,GFP.tif,0.2361,19.1007,80.8993,101.051,76.9833,1528,8495,154406,653973,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
22,GFP.tif,0.4479,30.933,69.067,152.666,69.6957,1521,7439,232205,518466,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
23,GFP.tif,0.3946,28.2953,71.7047,57.2935,33.6499,2027,8746,116134,294302,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
24,GFP.tif,0.4851,32.6641,67.3359,29.6007,13.9485,1956,8557,57899,119357,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
25,GFP.tif,0.6522,39.4732,60.5268,29.6092,17.6557,1909,4909,56524,86672,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
26,GFP.tif,0.5186,34.1493,65.8507,114.0468,49.6563,2479,10979,282722,545177,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
27,GFP.tif,0.4583,31.4251,68.5749,50.8276,28.012,1705,6751,86661,189109,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
28,GFP.tif,0.4509,31.0777,68.9223,49.3188,25.8699,1926,8143,94988,210659,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
29,GFP.tif,0.5759,36.5432,63.4568,76.2227,40.4707,1841,6021,140326,243674,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
30,GFP.tif,0.6444,39.188,60.812,51.3393,27.5832,1674,4835,85942,133365,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
31,GFP.tif,0.2563,20.4032,79.5968,89.2964,71.8857,2436,11805,217526,848611,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
32,GFP.tif,0.6158,38.1115,61.8885,97.9099,86.8042,2554,4678,250062,406070,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
33,GFP.tif,0.4031,28.7313,71.2687,73.6404,59.854,2236,6824,164660,408444,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
34,GFP.tif,0.3215,24.3292,75.6708,53.4361,40.9345,1628,6610,86994,270577,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
35,GFP.tif,0.5436,35.2162,64.7838,42.7721,26.9502,1505,4394,64372,118419,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
36,GFP.tif,0.5229,34.3351,65.6649,111.5976,68.4736,1317,4105,146974,281084,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
37,GFP.tif,0.3795,27.5102,72.4898,43.0111,23.7455,2162,10319,92990,245030,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
38,GFP.tif,0.34,25.3758,74.6242,45.5245,21.3813,1779,11139,80988,238166,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
39,GFP.tif,0.5071,33.6458,66.3542,71.756,28.4572,1619,8051,116173,229109,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
40,GFP.tif,0.4817,32.5116,67.4884,64.8751,43.608,1962,6059,127285,264221,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
41,GFP.tif,0.4483,30.9531,69.0469,85.8491,53.1058,1551,5593,133152,297021,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
42,GFP.tif,0.279,21.811,78.189,183.723,101.0798,1390,9057,255375,915480,/Users/cellsignaling6/Desktop/江君HeatShock論文/ExpCellResリバイス/Jiang-san's data/201013 FHF RelA/4h/
