n,image,icn factor,% nuclei,% cytoplasm,av. nuclei intensity,av. cytoplasm intensity,nuclei area,cytoplasm area,t. nuclei intensity,t. cytoplasm intensity,folder
1,GFP.tif,0.4714,32.0394,67.9606,78.2894,54.8597,1071,3242,83848,177855,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
2,GFP.tif,0.4441,30.7523,69.2477,87.2367,68.0062,942,2721,82177,185045,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
3,GFP.tif,0.5956,37.3286,62.6714,76.3612,67.0925,1290,2465,98506,165383,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
4,GFP.tif,0.4312,30.1297,69.8703,84.1214,70.7764,964,2657,81093,188053,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
5,GFP.tif,0.4532,31.1875,68.8125,87.414,77.8213,1041,2580,90998,200779,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
6,GFP.tif,0.7281,42.1334,57.8666,83.2627,53.4462,1146,2452,95419,131050,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
7,GFP.tif,0.5878,37.0179,62.9821,69.1585,59.2698,814,1616,56295,95780,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
8,GFP.tif,0.4969,33.1939,66.8061,94.183,77.4002,1000,2449,94183,189553,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
9,GFP.tif,0.3983,28.4844,71.5156,51.8855,42.7746,1100,3350,57074,143295,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
10,GFP.tif,0.4113,29.1429,70.8571,78.9396,62.6592,729,2233,57547,139918,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
11,GFP.tif,0.3929,28.2077,71.7923,70.5661,54.8098,560,1835,39517,100576,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
12,GFP.tif,0.6985,41.1246,58.8754,89.8412,60.3918,894,1904,80318,114986,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
13,GFP.tif,0.4965,33.1787,66.8213,78.6838,66.3862,819,1955,64442,129785,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
14,GFP.tif,0.3753,27.2877,72.7123,54.9745,58.353,1493,3748,82077,218707,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
15,GFP.tif,0.377,27.3809,72.6191,67.0708,45.6104,1271,4957,85247,226091,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
16,GFP.tif,0.4866,32.7326,67.2674,67.8915,54.0927,1217,3139,82624,169797,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
17,GFP.tif,0.4543,31.2373,68.7627,59.5775,47.1888,1155,3210,68812,151476,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
18,GFP.tif,0.5725,36.408,63.592,88.8682,66.1831,1639,3844,145655,254408,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
19,GFP.tif,0.3561,26.2605,73.7395,72.7207,60.7238,827,2781,60140,168873,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
20,GFP.tif,0.6533,39.5153,60.4847,61.2752,40.8797,1308,3001,80148,122680,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
21,GFP.tif,0.4514,31.0992,68.9008,81.9197,67.9519,2267,6055,185712,411449,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
22,GFP.tif,0.5645,36.083,63.917,62.3866,47.5446,1301,3024,81165,143775,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
23,GFP.tif,0.2851,22.1835,77.8165,40.6198,36.2088,2299,9047,93385,327581,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
24,GFP.tif,0.4883,32.8085,67.1915,46.104,38.6893,1067,2604,49193,100747,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
25,GFP.tif,0.5558,35.7251,64.2749,74.8259,57.4174,1120,2626,83805,150778,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
26,GFP.tif,0.7097,41.5114,58.4886,103.23,65.646,1048,2322,108185,152430,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
27,GFP.tif,0.5313,34.6958,65.3042,85.034,66.6365,1411,3389,119983,225831,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
28,GFP.tif,0.3551,26.2027,73.7973,72.3281,64.4208,1277,4038,92363,260131,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
29,GFP.tif,0.5636,36.0458,63.9542,70.1067,46.5396,993,2654,69616,123516,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
30,GFP.tif,0.3753,27.2899,72.7101,45.3319,36.717,943,3102,42748,113896,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
31,GFP.tif,0.3794,27.5037,72.4963,69.3553,65.1837,1182,3315,81978,216084,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
32,GFP.tif,0.3544,26.1688,73.8312,58.3535,43.6102,1143,4315,66698,188178,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
33,GFP.tif,0.5163,34.0517,65.9483,74.6012,48.0368,1166,3507,86985,168465,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
34,GFP.tif,0.4593,31.4741,68.5259,83.8988,59.4961,1225,3761,102776,223765,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
35,GFP.tif,0.398,28.4667,71.5333,78.8806,62.6245,1114,3526,87873,220814,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
36,GFP.tif,0.4336,30.246,69.754,66.131,61.0866,1351,3373,89343,206045,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
37,GFP.tif,0.669,40.0843,59.9157,78.1621,51.3265,876,1994,68470,102345,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
38,GFP.tif,0.7084,41.4647,58.5353,95.4435,60.1824,938,2100,89526,126383,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
39,GFP.tif,0.4528,31.1661,68.8339,77.3861,56.2666,904,2746,69957,154508,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
40,GFP.tif,0.5054,33.5721,66.4279,73.049,66.1698,960,2097,70127,138758,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/0h 1/
