n,image,icn factor,% nuclei,% cytoplasm,av. nuclei intensity,av. cytoplasm intensity,nuclei area,cytoplasm area,t. nuclei intensity,t. cytoplasm intensity,folder
1,GFP.tif,0.3,23.0793,76.9207,80.247,68.4794,996,3890,79926,266385,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
2,GFP.tif,0.3096,23.6436,76.3564,62.8615,56.9311,1184,4222,74428,240363,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
3,GFP.tif,0.3807,27.5731,72.4269,52.0106,53.7558,1315,3342,68394,179652,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
4,GFP.tif,0.5242,34.3925,65.6075,67.8357,73.5196,913,1607,61934,118146,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
5,GFP.tif,0.3833,27.7102,72.2898,63.7377,55.2483,934,2811,59531,155303,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
6,GFP.tif,0.4748,32.1948,67.8052,108.9359,86.661,936,2478,101964,214746,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
7,GFP.tif,0.2788,21.8038,78.1962,64.1073,69.4481,1156,3827,74108,265778,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
8,GFP.tif,0.2711,21.3268,78.6732,57.3832,72.7662,1276,3712,73221,270108,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
9,GFP.tif,0.4862,32.7149,67.2851,65.5545,67.5238,1221,2438,80042,164623,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
10,GFP.tif,0.4659,31.7832,68.2168,80.1862,88.8079,983,1905,78823,169179,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
11,GFP.tif,0.3269,24.6364,75.3636,57.4044,69.0079,1041,2649,59758,182802,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
12,GFP.tif,0.2903,22.5001,77.4999,40.5993,41.3167,1365,4620,55418,190883,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
13,GFP.tif,0.2865,22.2696,77.7304,68.4908,68.91,974,3379,66710,232847,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
14,GFP.tif,0.3167,24.0533,75.9467,48.4007,73.4536,1068,2222,51692,163214,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
15,GFP.tif,0.4203,29.5911,70.4089,81.4507,85.5961,1147,2597,93424,222293,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
16,GFP.tif,0.5361,34.9019,65.0981,76.2662,75.3829,894,1687,68182,127171,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
17,GFP.tif,0.2983,22.9757,77.0243,67.2418,75.7933,1394,4146,93735,314239,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
18,GFP.tif,0.5518,35.5593,64.4407,87.341,78.6052,1176,2368,102713,186137,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
19,GFP.tif,0.6752,40.306,59.694,93.0622,102.0834,1448,1955,134754,199573,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
20,GFP.tif,0.4665,31.8101,68.1899,96.3211,85.3145,1009,2442,97188,208338,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
21,GFP.tif,0.5466,35.3441,64.6559,68.4444,64.5879,1188,2303,81312,148746,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
22,GFP.tif,0.7842,43.9536,56.0464,66.0709,55.0775,776,1187,51271,65377,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
23,GFP.tif,0.5886,37.0528,62.9472,76.328,84.209,991,1526,75641,128503,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
24,GFP.tif,1.2322,55.2015,44.7985,87.4059,49.9484,983,1396,85920,69728,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
25,GFP.tif,0.4672,31.845,68.155,92.5004,84.9168,1171,2730,108318,231823,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
26,GFP.tif,0.2337,18.943,81.057,59.3706,67.9257,831,3108,49337,211113,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
27,GFP.tif,0.1724,14.707,85.293,31.6871,69.4729,1288,3407,40813,236694,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
28,GFP.tif,0.3217,24.3422,75.6578,50.1622,60.3365,1387,3584,69575,216246,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
29,GFP.tif,0.3735,27.1952,72.8048,75.0036,79.3901,1113,2815,83479,223483,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
30,GFP.tif,0.4982,33.2551,66.7449,120.3085,90.104,1112,2980,133783,268510,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
31,GFP.tif,0.4558,31.3072,68.6928,71.0711,72.5646,1490,3202,105896,232352,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
32,GFP.tif,0.3677,26.886,73.114,60.3759,53.237,2474,7630,149370,406198,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
33,GFP.tif,0.4803,32.4447,67.5553,67.6658,61.0454,802,1851,54268,112995,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
34,GFP.tif,0.4316,30.1502,69.8498,55.9891,66.0171,1279,2513,71610,165901,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
35,GFP.tif,0.7603,43.1928,56.8072,92.9318,127.7297,1276,1221,118581,155958,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
36,GFP.tif,0.4252,29.8323,70.1677,64.4449,78.1232,1088,2111,70116,164918,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
37,GFP.tif,0.2978,22.9469,77.0531,54.746,71.7836,1059,2712,57976,194677,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
38,GFP.tif,0.4465,30.8672,69.1328,62.5291,73.7763,1081,2052,67594,151389,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
39,GFP.tif,0.3168,24.0598,75.9402,62.1256,66.3291,1258,3719,78154,246678,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
40,GFP.tif,0.4539,31.2214,68.7786,62.8909,63.0264,999,2196,62828,138406,/Users/cellsignaling6/Desktop/170830 Heat shock to Hela/4h 2/
