n,image,icn factor,% nuclei,% cytoplasm,av. nuclei intensity,av. cytoplasm intensity,nuclei area,cytoplasm area,t. nuclei intensity,t. cytoplasm intensity,folder
1,GFP.tif,0.2837,22.1016,77.8984,60.1522,58.6806,2917,10539,175464,618435,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
2,GFP.tif,0.8031,44.5402,55.4598,46.799,48.5536,1204,1445,56346,70160,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
3,GFP.tif,0.39899999999999997,28.5201,71.4799,41.5722,48.7578,1760,3761,73167,183378,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
4,GFP.tif,0.2718,21.3723,78.6277,45.6085,47.0292,1622,5787,73977,272158,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
5,GFP.tif,0.1705,14.5665,85.4335,24.2168,28.8803,1402,6895,33952,199130,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
6,GFP.tif,0.1408,12.3449,87.6551,99.8201,83.8184,239,2021,23857,169397,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
7,GFP.tif,1.1757,54.0376,45.9624,59.3941,61.2152,1053,869,62542,53196,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
8,GFP.tif,0.5013,33.3921,66.6079,47.8581,43.4996,1254,2752,60014,119711,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
9,GFP.tif,0.2484,19.8951,80.1049,45.9104,55.4309,1574,5249,72263,290957,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
10,GFP.tif,0.2876,22.3366,77.6634,61.606,54.6282,1457,5713,89760,312091,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
11,GFP.tif,0.2503,20.0169,79.9831,75.0653,84.609,1609,5704,120780,482610,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
12,GFP.tif,0.2963,22.8603,77.1397,56.4904,64.5178,1144,3380,64625,218070,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
13,GFP.tif,0.2995,23.0448,76.9552,49.2745,58.797,1519,4251,74848,249946,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
14,GFP.tif,0.7358,42.3891,57.6109,67.3869,72.6448,1561,1968,105191,142965,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
15,GFP.tif,1.0066,50.1636,49.8364,52.3496,40.2644,1104,1426,57794,57417,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
16,GFP.tif,0.2884,22.386999999999997,77.613,28.0,28.6611,1406,4762,39368,136484,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
17,GFP.tif,0.6107,37.9156,62.0844,62.6664,48.4473,1271,2692,79649,130420,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
18,GFP.tif,0.2505,20.0317,79.9683,48.4777,53.2305,1279,4650,62003,247522,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
19,GFP.tif,0.2496,19.9744,80.0256,33.2997,34.7886,1745,6692,58108,232805,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
20,GFP.tif,0.3676,26.8793,73.1207,50.1208,49.4149,1250,3449,62651,170432,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
1,GFP.tif,0.1999,16.6619,83.3381,40.8567,47.9292,1445,6161,59038,295292,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
2,GFP.tif,0.2677,21.1184,78.8816,39.9133,47.2598,1695,5347,67653,252698,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
3,GFP.tif,0.2404,19.3776,80.6224,72.6402,60.2137,1612,8091,117096,487189,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
4,GFP.tif,0.2182,17.910999999999998,82.089,61.0053,60.7232,943,4342,57528,263660,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
5,GFP.tif,0.3921,28.1677,71.8323,36.9722,30.6307,2304,7092,85184,217233,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
6,GFP.tif,0.3118,23.7696,76.2304,30.8983,28.9002,1327,4550,41002,131496,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
7,GFP.tif,0.4151,29.3316,70.6684,45.4657,49.7467,2248,4950,102207,246246,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
8,GFP.tif,0.1675,14.3476,85.6524,58.083999999999996,55.5535,1179,7359,68481,408818,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
9,GFP.tif,0.278,21.7525,78.2475,63.3839,63.6098,1167,4183,73969,266080,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
10,GFP.tif,0.3765,27.3501,72.6499,49.044,60.7293,1226,2630,60128,159718,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
1,GFP.tif,0.2823,22.0138,77.9862,22.9274,27.256999999999998,1144,3409,26229,92919,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 WT/0h/
