n,image,icn factor,% nuclei,% cytoplasm,av. nuclei intensity,av. cytoplasm intensity,nuclei area,cytoplasm area,t. nuclei intensity,t. cytoplasm intensity,folder
1,GFP.tif,0.6829999999999999,40.5813,59.4187,61.4666,37.7217,1783,4254,109595,160468,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
2,GFP.tif,0.8884,47.0458,52.9542,59.0154,31.604,1885,3962,111244,125215,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
3,GFP.tif,0.5026,33.4506,66.5494,82.9196,60.2651,1641,4492,136071,270711,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
4,GFP.tif,0.6365,38.8941,61.1059,72.4676,48.4266,1638,3851,118702,186491,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
5,GFP.tif,0.7004,41.1919,58.8081,75.9022,53.5003,982,1989,74536,106412,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
6,GFP.tif,0.5762,36.5573,63.4427,123.9808,53.4825,1304,5246,161671,280569,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
7,GFP.tif,0.5966,37.3675,62.6325,42.5638,39.0848,956,1745,40691,68203,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
8,GFP.tif,0.6021,37.5801,62.4199,54.6953,30.3544,988,2957,54039,89758,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
9,GFP.tif,0.5042,33.5212,66.4788,59.6889,37.3783,1983,6280,118363,234736,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
10,GFP.tif,0.9588,48.9475,51.0525,46.5522,28.5188,1543,2627,71830,74919,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
11,GFP.tif,0.7148,41.6849,58.3151,68.782,36.7504,2266,5933,155860,218040,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
12,GFP.tif,0.7026,41.2673,58.7327,34.3715,19.8616,1728,4256,59394,84531,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
13,GFP.tif,0.611,37.9248,62.0752,53.5846,42.5595,1365,2813,73143,119720,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
14,GFP.tif,0.3274,24.6652,75.3348,50.0774,55.3587,1240,3426,62096,189659,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
15,GFP.tif,0.83,45.3564,54.6436,81.5691,40.1989,1824,4459,148782,179247,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
16,GFP.tif,0.6408,39.0527,60.9473,78.7868,45.5163,1487,4017,117156,182839,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
17,GFP.tif,0.5985,37.4425,62.5575,56.2104,34.3049,1616,4424,90836,151765,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
18,GFP.tif,0.6558,39.6045,60.3955,113.6829,72.1263,2059,4949,234073,356953,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
19,GFP.tif,0.6011,37.5444,62.4556,65.9265,46.5537,2749,6476,181232,301482,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
20,GFP.tif,0.7702,43.5105,56.4895,64.2379,40.9853,1606,3268,103166,133940,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
21,GFP.tif,0.7941,44.263000000000005,55.736999999999995,53.0987,43.5365,1732,2660,91967,115807,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
22,GFP.tif,0.6639,39.9013,60.0987,57.5836,48.2268,1508,2712,86836,130791,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
1,GFP.tif,0.9516,48.7604,51.2396,89.7506,53.6032,2478,4360,222402,233710,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
2,GFP.tif,0.713,41.6236,58.3764,29.7763,17.6249,1922,4554,57230,80264,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
3,GFP.tif,0.6465,39.2647,60.7353,32.6457,21.497,1338,3143,43680,67565,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
4,GFP.tif,0.608,37.8116,62.1884,19.289,12.8868,1858,4574,35839,58944,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
5,GFP.tif,0.7281,42.1323,57.8677,111.0707,80.8149,1202,2269,133507,183369,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
6,GFP.tif,0.6345,38.8211,61.1789,106.7787,66.5553,1270,3211,135609,213709,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
7,GFP.tif,1.2544,55.6427,44.3573,48.5794,25.2964,2556,3913,124169,98985,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
8,GFP.tif,0.6853,40.6635,59.3365,105.4454,73.2859,1969,4134,207622,302964,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
9,GFP.tif,0.4289,30.0174,69.9826,51.3892,44.9152,1711,4564,87927,204993,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
10,GFP.tif,0.7343,42.3405,57.6595,123.9284,100.4223,1271,2136,157513,214502,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
11,GFP.tif,1.3022,56.5631,43.4369,48.8603,33.7939,2076,2305,101434,77895,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
12,GFP.tif,0.6164,38.1338,61.8662,115.0138,70.7848,1742,4592,200354,325044,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
1,GFP.tif,0.5242,34.393,65.607,47.8665,37.1793,1678,4121,80320,153216,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
2,GFP.tif,0.5776,36.6131,63.3869,55.3089,43.7308,1408,3083,77875,134822,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
3,GFP.tif,0.5719,36.3827,63.6173,42.117,33.9736,2129,4615,89667,156788,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
4,GFP.tif,0.8752,46.6726,53.3274,82.0981,46.1421,1336,2716,109683,125322,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
5,GFP.tif,1.0541,51.318000000000005,48.681999999999995,68.9461,51.9973,1466,1844,101075,95883,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
6,GFP.tif,0.3982,28.4796,71.5204,53.1171,50.1277,1127,2999,59863,150333,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
7,GFP.tif,0.7713,43.5442,56.4558,60.6954,32.688,1868,4497,113379,146998,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
8,GFP.tif,0.4836,32.595,67.405,56.1351,37.5228,1814,5612,101829,210578,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
9,GFP.tif,0.6883,40.7701,59.2299,45.1924,24.2111,1523,4130,68828,99992,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
10,GFP.tif,0.5039,33.5063,66.4937,102.2942,77.7837,1584,4134,162034,321558,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
11,GFP.tif,0.5396,35.0465,64.9535,45.8421,43.8661,1045,2024,47905,88785,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
12,GFP.tif,0.7959999999999999,44.3195,55.6805,81.2135,54.9726,1438,2669,116785,146722,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
13,GFP.tif,0.7511,42.8945,57.1055,32.1535,14.2618,2058,6177,66172,88095,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
14,GFP.tif,0.6469,39.28,60.72,163.6103,106.1483,1129,2690,184716,285539,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
15,GFP.tif,0.3932,28.2207,71.7793,31.5698,34.871,1404,3233,44324,112738,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
16,GFP.tif,0.7085,41.4695,58.5305,44.9219,26.2197,1344,3250,60375,85214,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
17,GFP.tif,0.8427,45.7326,54.2674,50.2909,35.8907,1100,1829,55320,65644,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
18,GFP.tif,0.6494,39.3736,60.6264,132.4533,93.4747,2546,5555,337226,519252,/Users/cellsignaling6/Desktop/200727 U2OS GFP YAP1 LATS2 WTYF/FH LATS2 YF/2h/
